Mesh Metrics:
  Number of vertices: 982118
  Component 210 size: 36
  Component 211 size: 24
  Component 212 size: 22
  Component 213 size: 14
  Component 214 size: 18
  Component 215 size: 42
  Component 216 size: 56
  Component 217 size: 24
  Component 218 size: 24
  Component 219 size: 16
  Component 220 size: 20
  Component 221 size: 26
  Component 222 size: 16
  Component 223 size: 40
  Component 224 size: 20
  Component 225 size: 28
  Component 226 size: 20
  Component 227 size: 16
  Component 228 size: 24
  Component 229 size: 32
  Component 230 size: 16
  Component 231 size: 28
  Component 232 size: 20
  Component 233 size: 46
  Component 234 size: 32
  Component 235 size: 76
  Component 236 size: 20
  Component 237 size: 28
  Component 238 size: 50
  Component 239 size: 26
  Component 240 size: 14
  Component 241 size: 20
  Component 242 size: 20
  Component 243 size: 48
  Component 244 size: 18
  Component 245 size: 18
  Component 246 size: 16
  Component 247 size: 16
  Component 248 size: 28
  Component 249 size: 22
  Component 250 size: 16
  Component 251 size: 30
  Component 252 size: 14
  Component 253 size: 50
  Component 254 size: 38
  Component 255 size: 6
  Component 256 size: 24
  Component 257 size: 18
  Component 258 size: 22
  Component 259 size: 24
  Component 260 size: 32
  Component 261 size: 22
  Component 262 size: 26
  Component 263 size: 16
  Component 264 size: 48
  Component 265 size: 22
  Component 266 size: 36
  Component 267 size: 20
  Component 268 size: 54
  Component 269 size: 44
  Component 270 size: 42
  Component 271 size: 28
  Component 272 size: 32
  Component 273 size: 30
  Component 274 size: 38
  Component 275 size: 36
  Component 276 size: 162
  Component 277 size: 104
  Component 278 size: 46
  Component 279 size: 18
  Component 280 size: 20
  Component 281 size: 19
  Component 282 size: 262
  Component 283 size: 24
  Component 284 size: 24
  Component 285 size: 24
  Component 286 size: 22
  Component 287 size: 38
  Component 288 size: 42
  Component 289 size: 20
  Component 290 size: 26
  Component 291 size: 18
  Component 292 size: 12
  Component 293 size: 34
  Component 294 size: 295
  Component 295 size: 18
  Component 296 size: 24
  Component 297 size: 24
  Component 298 size: 22
  Component 299 size: 20
  Component 300 size: 18
  Component 301 size: 33
  Component 302 size: 34
  Component 303 size: 10
  Component 304 size: 30
  Component 305 size: 20
  Component 306 size: 16
  Component 307 size: 20
  Component 308 size: 24
  Component 309 size: 18
  Component 310 size: 30
  Component 311 size: 26
  Component 312 size: 32
  Component 313 size: 30
  Component 314 size: 22
  Component 315 size: 22
  Component 316 size: 110
  Component 317 size: 46
  Component 318 size: 26
  Component 319 size: 30
  Component 320 size: 16
  Component 321 size: 36
  Component 322 size: 60
  Component 323 size: 20
  Component 324 size: 20
  Component 325 size: 22
  Component 326 size: 22
  Component 327 size: 2
  Component 328 size: 28
  Component 329 size: 34
  Component 330 size: 22
  Component 331 size: 24
  Component 332 size: 20
  Component 333 size: 20
  Component 334 size: 42
  Component 335 size: 36
  Component 336 size: 32
  Component 337 size: 22
  Component 338 size: 20
  Component 339 size: 382
  Component 340 size: 16
  Component 341 size: 18
  Component 342 size: 20
  Component 343 size: 26
  Component 344 size: 22
  Component 345 size: 16
  Component 346 size: 38
  Component 347 size: 28
  Component 348 size: 16
  Component 349 size: 24
  Component 350 size: 34
  Component 351 size: 44
  Component 352 size: 16
  Component 353 size: 16
  Component 354 size: 90
  Component 355 size: 16
  Component 356 size: 14
  Component 357 size: 26
  Component 358 size: 24
  Component 359 size: 24
  Component 360 size: 16
  Component 361 size: 22
  Component 362 size: 28
  Component 363 size: 26
  Component 364 size: 68
  Component 365 size: 24
  Component 366 size: 36
  Component 367 size: 20
  Component 368 size: 44
  Component 369 size: 20
  Component 370 size: 20
  Component 371 size: 22
  Component 372 size: 50
  Component 373 size: 34
  Component 374 size: 20
  Component 375 size: 28
  Component 376 size: 18
  Component 377 size: 18
  Component 378 size: 34
  Component 379 size: 16
  Component 380 size: 34
  Component 381 size: 42
  Component 382 size: 28
  Component 383 size: 28
  Component 384 size: 34
  Component 385 size: 38
  Component 386 size: 22
  Component 387 size: 48
  Component 388 size: 36
  Component 389 size: 20
  Component 390 size: 24
  Component 391 size: 22
  Component 392 size: 18
  Component 393 size: 20
  Component 394 size: 14
  Component 395 size: 14
  Component 396 size: 26
  Component 397 size: 24
  Component 398 size: 16
  Component 399 size: 24
  Component 400 size: 20
  Component 401 size: 10
  Component 402 size: 74
  Component 403 size: 22
  Component 404 size: 26
  Component 405 size: 24
  Component 406 size: 18
  Component 407 size: 1
  Component 408 size: 22
  Component 409 size: 10
  Component 410 size: 20
  Component 411 size: 20
  Component 412 size: 22
  Component 413 size: 20
  Component 414 size: 1
  Component 415 size: 1
  Component 416 size: 2
  Component 417 size: 14
  Component 418 size: 30
  Component 419 size: 1
  Component 420 size: 10
  Component 421 size: 9
  Component 422 size: 2
  Component 423 size: 1
  Component 424 size: 1
  Component 425 size: 1
  Component 426 size: 2
  Component 427 size: 1
  Component 428 size: 24
  Component 429 size: 22
  Component 430 size: 1
  Component 431 size: 1
  Component 432 size: 1
  Component 433 size: 1
  Component 434 size: 24
  Component 435 size: 12
  Component 436 size: 8
  Component 437 size: 10
  Component 438 size: 48
  Component 439 size: 18
  Component 440 size: 16
  Component 441 size: 12
  Component 442 size: 14
  Component 443 size: 10
  Component 444 size: 14
  Component 445 size: 1
  Component 446 size: 22
  Component 447 size: 1
  Component 448 size: 2
  Component 449 size: 1
  Component 450 size: 1
  Minimum face area: 0
  Maximum face area: 0.250757
  Average face area: 5.26973e-05
  Number of degenerate faces: 40685
  Area degeneracy ratio: 0.0207138
  5th percentile minimum angle: 6.00907
  Maximum angle: 180
