Mesh Metrics:
  Number of vertices: 833649
  Component 367 size: 20
  Component 368 size: 28
  Component 369 size: 26
  Component 370 size: 18
  Component 371 size: 22
  Component 372 size: 26
  Component 373 size: 32
  Component 374 size: 60
  Component 375 size: 14
  Component 376 size: 38
  Component 377 size: 16
  Component 378 size: 26
  Component 379 size: 18
  Component 380 size: 20
  Component 381 size: 22
  Component 382 size: 24
  Component 383 size: 38
  Component 384 size: 58
  Component 385 size: 66
  Component 386 size: 52
  Component 387 size: 44
  Component 388 size: 26
  Component 389 size: 62
  Component 390 size: 62
  Component 391 size: 28
  Component 392 size: 20
  Component 393 size: 28
  Component 394 size: 56
  Component 395 size: 18
  Component 396 size: 56
  Component 397 size: 12
  Component 398 size: 50
  Component 399 size: 44
  Component 400 size: 30
  Component 401 size: 24
  Component 402 size: 22
  Component 403 size: 18
  Component 404 size: 28
  Component 405 size: 26
  Component 406 size: 44
  Component 407 size: 24
  Component 408 size: 30
  Component 409 size: 72
  Component 410 size: 22
  Component 411 size: 22
  Component 412 size: 10
  Component 413 size: 12
  Component 414 size: 52
  Component 415 size: 22
  Component 416 size: 16
  Component 417 size: 22
  Component 418 size: 52
  Component 419 size: 24
  Component 420 size: 14
  Component 421 size: 24
  Component 422 size: 20
  Component 423 size: 24
  Component 424 size: 18
  Component 425 size: 26
  Component 426 size: 20
  Component 427 size: 20
  Component 428 size: 34
  Component 429 size: 24
  Component 430 size: 38
  Component 431 size: 60
  Component 432 size: 1
  Component 433 size: 20
  Component 434 size: 22
  Component 435 size: 4
  Component 436 size: 26
  Component 437 size: 12
  Component 438 size: 8
  Component 439 size: 1
  Component 440 size: 14
  Component 441 size: 22
  Component 442 size: 26
  Component 443 size: 12
  Component 444 size: 18
  Component 445 size: 24
  Component 446 size: 18
  Component 447 size: 34
  Component 448 size: 20
  Component 449 size: 12
  Component 450 size: 30
  Component 451 size: 20
  Component 452 size: 24
  Component 453 size: 18
  Component 454 size: 16
  Component 455 size: 1
  Component 456 size: 2
  Component 457 size: 2
  Component 458 size: 14
  Component 459 size: 12
  Component 460 size: 1
  Component 461 size: 26
  Component 462 size: 1
  Component 463 size: 2
  Component 464 size: 1
  Component 465 size: 16
  Component 466 size: 18
  Component 467 size: 2
  Component 468 size: 1
  Component 469 size: 1
  Component 470 size: 20
