Mesh Metrics:
  Number of vertices: 1678693
  Loop 583 size: 204
  Loop 584 size: 3
  Loop 585 size: 3
  Loop 586 size: 3
  Loop 587 size: 13
  Loop 588 size: 483
  Loop 589 size: 1
  Loop 590 size: 1
  Loop 591 size: 26
  Loop 592 size: 1
  Loop 593 size: 4
  Loop 594 size: 14
  Loop 595 size: 9
  Loop 596 size: 8
  Loop 597 size: 4
  Loop 598 size: 14
  Loop 599 size: 1
  Loop 600 size: 1
  Loop 601 size: 2
  Loop 602 size: 3
  Loop 603 size: 3
  Loop 604 size: 3
  Loop 605 size: 25
  Loop 606 size: 12
  Loop 607 size: 1
  Loop 608 size: 1
  Loop 609 size: 1
  Loop 610 size: 1
  Loop 611 size: 1
  Loop 612 size: 1
  Loop 613 size: 1
  Loop 614 size: 1
  Loop 615 size: 1
  Loop 616 size: 1
  Loop 617 size: 2
  Loop 618 size: 1
  Loop 619 size: 81
  Loop 620 size: 1
  Loop 621 size: 1
  Loop 622 size: 1
  Loop 623 size: 1
  Loop 624 size: 1
  Loop 625 size: 5
  Loop 626 size: 3
  Loop 627 size: 475
  Loop 628 size: 4
  Loop 629 size: 7
  Loop 630 size: 3
  Loop 631 size: 8
  Loop 632 size: 28
  Loop 633 size: 6
  Loop 634 size: 262
  Loop 635 size: 1
  Loop 636 size: 5
  Loop 637 size: 3
  Loop 638 size: 3
  Loop 639 size: 1
  Loop 640 size: 7
  Loop 641 size: 13
  Loop 642 size: 3
  Loop 643 size: 1
  Loop 644 size: 12
  Loop 645 size: 1
  Loop 646 size: 2
  Loop 647 size: 3
  Loop 648 size: 1
  Loop 649 size: 3
  Loop 650 size: 5
  Loop 651 size: 1
  Loop 652 size: 15
  Loop 653 size: 6
  Loop 654 size: 1
  Loop 655 size: 1
  Loop 656 size: 3
  Loop 657 size: 3
  Loop 658 size: 6
  Loop 659 size: 6
  Loop 660 size: 5
  Loop 661 size: 3
  Loop 662 size: 106
  Loop 663 size: 98
  Loop 664 size: 3
  Loop 665 size: 111
  Loop 666 size: 4
  Loop 667 size: 16
  Loop 668 size: 11
  Loop 669 size: 17
  Loop 670 size: 3
  Loop 671 size: 13
  Loop 672 size: 5
  Loop 673 size: 12
  Loop 674 size: 7
